months_practicing,identity,years_practicing
12.0,Non-hierarchical Polyamory,1.0
372.0,Solo Polyamory,31.0
273.0,Ethical / Consensual Non-monogamy,22.75
108.0,Polyamory,9.0
88.0,Open Relationship,7.333333333333333
63.0,Polyamory,5.25
430.0,Ethical / Consensual Non-monogamy,35.833333333333336
180.0,Polyamory,15.0
36.0,Polyamory,3.0
2.0,Other CNM Type,0.16666666666666666
156.0,Ethical / Consensual Non-monogamy,13.0
72.0,Non-hierarchical Polyamory,6.0
160.0,Relationship Anarchy,13.333333333333334
123.0,Ethical / Consensual Non-monogamy,10.25
480.0,Polyamory,40.0
163.0,Relationship Anarchy,13.583333333333334
120.0,Polyamory,10.0
204.0,Polyamory,17.0
168.0,Relationship Anarchy,14.0
120.0,Relationship Anarchy,10.0
64.0,Relationship Anarchy,5.333333333333333
192.0,Ethical / Consensual Non-monogamy,16.0
216.0,Fetish/BDSM non-monogamy,18.0
204.0,Fetish/BDSM non-monogamy,17.0
78.0,Polyamory,6.5
42.0,Polyamory,3.5
57.0,Polyamory,4.75
190.0,Relationship Anarchy,15.833333333333334
120.0,Relationship Anarchy,10.0
30.0,Relationship Anarchy,2.5
16.0,Relationship Anarchy,1.3333333333333333
48.0,Non-hierarchical Polyamory,4.0
44.0,Garden Party Polyamory,3.6666666666666665
120.0,Solo Polyamory,10.0
120.0,Relationship Anarchy,10.0
48.0,Ethical / Consensual Non-monogamy,4.0
12.0,Hierarchical Polyamory,1.0
48.0,Polyamory,4.0
204.0,Polyamory,17.0
24.0,Ethical / Consensual Non-monogamy,2.0
29.0,Polyamory,2.4166666666666665
10.0,Other CNM Type,0.8333333333333334
30.0,Polyamory,2.5
34.0,Polyamory,2.8333333333333335
84.0,Fetish/BDSM non-monogamy,7.0
60.0,Polyamory,5.0
36.0,Ethical / Consensual Non-monogamy,3.0
96.0,Non-hierarchical Polyamory,8.0
17.0,Kitchen Table Polyamory,1.4166666666666667
134.0,Solo Polyamory,11.166666666666666
240.0,Open Relationship,20.0
108.0,Kitchen Table Polyamory,9.0
119.0,Fetish/BDSM non-monogamy,9.916666666666666
204.0,Fetish/BDSM non-monogamy,17.0
231.0,Polyamory,19.25
75.0,Relationship Anarchy,6.25
48.0,Ethical / Consensual Non-monogamy,4.0
314.0,Polyamory,26.166666666666668
276.0,Relationship Anarchy,23.0
42.0,Relationship Anarchy,3.5
240.0,Fetish/BDSM non-monogamy,20.0
48.0,Relationship Anarchy,4.0
62.0,Relationship Anarchy,5.166666666666667
82.0,Throuple/Triad,6.833333333333333
156.0,Relationship Anarchy,13.0
21.0,Relationship Anarchy,1.75
276.0,Relationship Anarchy,23.0
102.0,Relationship Anarchy,8.5
72.0,Relationship Anarchy,6.0
102.0,Other CNM Type,8.5
50.0,Polyamory,4.166666666666667
93.0,Polyamory,7.75
156.0,Relationship Anarchy,13.0
41.0,Polyamory,3.4166666666666665
48.0,Polyamory,4.0
132.0,Relationship Anarchy,11.0
120.0,Ethical / Consensual Non-monogamy,10.0
10.0,Polyamory,0.8333333333333334
108.0,Ethical / Consensual Non-monogamy,9.0
140.0,Ethical / Consensual Non-monogamy,11.666666666666666
132.0,Polyamory,11.0
132.0,Relationship Anarchy,11.0
16.0,Ethical / Consensual Non-monogamy,1.3333333333333333
81.0,Ethical / Consensual Non-monogamy,6.75
42.0,Ethical / Consensual Non-monogamy,3.5
60.0,Polyamory,5.0
84.0,Polyamory,7.0
168.0,Ethical / Consensual Non-monogamy,14.0
144.0,Relationship Anarchy,12.0
22.0,Non-hierarchical Polyamory,1.8333333333333333
282.0,Monogamish,23.5
84.0,Monogamish,7.0
64.0,Solo Polyamory,5.333333333333333
57.0,Garden Party Polyamory,4.75
240.0,Relationship Anarchy,20.0
42.0,Ethical / Consensual Non-monogamy,3.5
8.0,Fetish/BDSM non-monogamy,0.6666666666666666
108.0,Solo Polyamory,9.0
48.0,Polyamory,4.0
60.5,Monogamish,5.041666666666667
60.0,Relationship Anarchy,5.0
85.0,Relationship Anarchy,7.083333333333333
84.0,Polyamory,7.0
204.0,Solo Polyamory,17.0
300.0,Relationship Anarchy,25.0
240.0,Kitchen Table Polyamory,20.0
194.0,Non-hierarchical Polyamory,16.166666666666668
30.0,Other CNM Type,2.5
24.0,Polyamory,2.0
360.0,Open Relationship,30.0
98.0,Ethical / Consensual Non-monogamy,8.166666666666666
75.0,Solo Polyamory,6.25
111.0,Polyamory,9.25
180.0,Solo Polyamory,15.0
48.0,Polyamory,4.0
24.0,Garden Party Polyamory,2.0
108.0,Non-hierarchical Polyamory,9.0
360.0,Kitchen Table Polyamory,30.0
116.0,Non-hierarchical Polyamory,9.666666666666666
72.0,Polyamory,6.0
156.0,Kitchen Table Polyamory,13.0
62.0,Relationship Anarchy,5.166666666666667
60.0,Monogamish,5.0
144.0,Garden Party Polyamory,12.0
264.0,Relationship Anarchy,22.0
73.0,Polyamory,6.083333333333333
54.0,Garden Party Polyamory,4.5
159.0,Polyamory,13.25
